Title,User Rating %,Genres,Cast
Mission: Cross,69,"['Action', 'Comedy', 'Adventure']","['Hwang Jung-min, as Kang-mu', 'Yum Jung-ah, as Mi-seon', 'Jeon Hye-jin, as Hee-ju', 'Jeong Man-sik, as Sang-ung', 'Kim Chan-hyung, as Jeong-rok', 'Kim Ju-hun, as Jung-san', 'Cha Rae-hyung, as Hun-ki', 'Lee Ho-cheol, as Dong-su', 'Kim Jun-han, as Geum-seok']"
Paradox Effect,64,"['Action', 'Thriller']","['Olga Kurylenko, as Karina', 'Harvey Keitel, as Silvio', 'Oliver Trevena, as Covek', 'Alice Astons, as Lucy', 'Talia Asseraf, as Renee', 'Meredith Mickelson, as Gia', 'Malich Cissé, as Mads', 'Lucia Zotti, as Signora De Luca', 'Paul Sampson, as Gian']"
The Mouse Trap,26,"['Horror', 'Thriller', 'Comedy']","['Simon Phillips, as Mickey / Mike the manager', 'Sophie McIntosh, as Alex', 'Nick Biskupek, as Detective Marsh', 'James Laurin, as Paul', 'Mireille Gagné, as Gemma', 'Damir Kovic, as Detective Cole', 'Calum Sywyk, as Marcus', 'Allegra Nocita, as Marie', 'Ben Harris, as Ryan']"
House of Ga'a,59,"['Action', 'History']","[""Femi Branch, as Bashorun Ga'a"", 'Mike Afolarin, as Oyemekun', 'Funke Akindele, as Ayinba', 'Femi Adebayo, as Olukuoye', ""Ibrahim Chatta, as Sasa L'eniyan"", 'Toyin Abraham, as Edan Asiko', ""Jide 'JBlaze' Oyegbile, as Olaotan"", 'Bimbo Manuel, as Ashipa', 'Lateef Adedimeji, as Olubu']"
Thelma,70,"['Action', 'Comedy', 'Adventure']","['June Squibb, as Thelma', 'Fred Hechinger, as Daniel', 'Richard Roundtree, as Ben', 'Parker Posey, as Gail', 'Clark Gregg, as Alan', 'Malcolm McDowell, as Harvey', 'Nicole Byer, as Rochelle', 'Coral Peña, as Allie', 'Hilda Boulware, as Woman at Post Office']"
Descendants: The Rise of Red,70,"['Fantasy', 'Adventure', 'Family', 'Comedy']","['Kylie Cantrall, as Red', 'Malia Baker, as Chloe', 'Ruby Rose Turner, as Bridget', 'Morgan Dudley, as Ella', 'Dara Reneé, as Uliana', 'Rita Ora, as Queen of Hearts', 'Brandy Norwood, as Cinderella', 'China Anne McClain, as Uma', 'Joshua Colley, as Hook']"
Escape from the 21st Century,70,"['Science Fiction', 'Comedy']","['Zhang Ruoyun, as Wang Zha', 'Zhong Chuxi, as Liu Lianzhi', 'Song Yang, as Wang Chengyong', 'Wu Xiaoliang, as Han Guang', 'Zhu Yanmanzi, as Yang Yi', 'Leon Lee, as Bubble/Paopao', 'Wen Zhengrong, as San', 'Shi Liang,', 'Yichen Chen,']"
The Ministry of Ungentlemanly Warfare,72,"['Action', 'Comedy', 'War']","['Henry Cavill, as Gus March-Phillips', 'Eiza González, as Marjorie Stewart', 'Alan Ritchson, as Anders Lassen', 'Henry Golding, as Freddy Alvarez', ""Cary Elwes, as Brigadier Gubbins 'M'"", 'Alex Pettyfer, as Geoffrey Appleyard', 'Hero Fiennes Tiffin, as Henry Hayes', 'Babs Olusanmokun, as Mr. Heron', 'Henry Zaga, as Captain Binea']"
Justice League: Crisis on Infinite Earths Part Three,74,"['Animation', 'Science Fiction', 'Action']","['Jensen Ackles, as Batman / Bruce Wayne (voice)', 'Darren Criss, as Superman / Earth-2 Superman (voice)', 'Corey Stoll, as Lex Luthor (voice)', 'Gideon Adlon, as Batgirl (voice)', ""Ike Amadi, as Martian Manhunter / J'onn J'onzz (voice)"", 'Geoffrey Arend, as Psycho Pirate / Charles Halstead (voice)', 'Troy Baker, as The Joker / Spider Guild Lantern (voice)', 'Brian Bloom, as Adam Strange / Sidewinter (voice)', 'Matt Bomer, as The Flash (voice)']"
Non Negotiable,60,"['Action', 'Thriller', 'Comedy', 'Drama']","['Mauricio Ochmann, as Alan Bender', 'Leonardo Ortizgris, as Vicente', 'Enoc Leaño, as Presidente Araiza', 'Tato Alexander, as Victoria', 'Claudette Maillé, as Carrasco', 'Gonzalo Vega Jr., as Nicolás', 'Daniel Garcia, as Fajardo', 'Fernanda Borches, as Pamela Lobatón', 'Cristina Michaus, as Secretaria Bastón']"
Godzilla x Kong: The New Empire,72,"['Science Fiction', 'Action', 'Adventure']","['Rebecca Hall, as Ilene Andrews', 'Brian Tyree Henry, as Bernie Hayes', 'Dan Stevens, as Trapper', 'Kaylee Hottle, as Jia', 'Alex Ferns, as Mikael', 'Fala Chen, as Iwi Queen', 'Rachel House, as Hampton', 'Ron Smyck, as Harris', 'Chantelle Jamieson, as Jayne']"
My Spy The Eternal City,67,"['Action', 'Comedy']","['Dave Bautista, as J.J.', 'Chloe Coleman, as Sophie Newton', 'Kristen Schaal, as Bobbi', 'Ken Jeong, as David Kim', 'Anna Faris, as Nancy', 'Flula Borg, as Crane', 'Taeho K, as Collin', 'Billy Barratt, as Ryan', 'Craig Robinson, as Connelly']"
Fly Me to the Moon,71,"['Romance', 'Comedy']","['Scarlett Johansson, as Kelly Jones', 'Channing Tatum, as Cole Davis', 'Woody Harrelson, as Moe Berkus', 'Ray Romano, as Henry Smalls', 'Jim Rash, as Lance Vespertine', 'Anna Garcia, as Ruby Martin', 'Donald Watkins, as Stu Bryce', 'Noah Robbins, as Don Harper', 'Christian Clemenson, as Walter']"
An Ideal Father,65,"['Drama', 'TV Movie']","['Laurent Gerra, as Michel', 'Eddy Mitchell, as Jeff', 'Laure-Lucille Simon, as Florence Pasquier', 'Jérôme Kircher, as Max', 'Tess Barthélémy, as Christelle', 'Bérangère Bonvoisin, as Sylvie', 'Denez Raoul, as Paul', 'Alice Aliaga, as Karine', ""Rufus, as L'Evêque""]"
Alien,82,"['Horror', 'Science Fiction']","['Tom Skerritt, as Dallas', 'Sigourney Weaver, as Ripley', 'Veronica Cartwright, as Lambert', 'Harry Dean Stanton, as Brett', 'John Hurt, as Kane', 'Ian Holm, as Ash', 'Yaphet Kotto, as Parker', 'Bolaji Badejo, as Alien', 'Helen Horton, as Mother (voice)']"
Trap,63,"['Crime', 'Horror', 'Mystery', 'Thriller']","['Josh Hartnett, as Cooper', 'Ariel Donoghue, as Riley', 'Saleka, as Lady Raven', 'Alison Pill, as Rachel', 'Hayley Mills, as Dr. Josephine Grant', 'Jonathan Langdon, as Jamie', 'Mark Bacolcol, as Spencer', ""Marnie McPhail, as Jody's Mom"", 'Kid Cudi, as The Thinker']"
