Title,User Rating %,Genres,Cast
Civil War,70,"['War', 'Action', 'Drama']","['Kirsten Dunst, as Lee', 'Wagner Moura, as Joel', 'Cailee Spaeny, as Jessie', 'Stephen McKinley Henderson, as Sammy', 'Nelson Lee, as Tony', 'Nick Offerman, as President', 'Jefferson White, as Dave', 'Evan Lai, as Bohai', 'Vince Pisani, as Concierge']"
The Exorcism,46,"['Horror', 'Thriller']","['Russell Crowe, as Anthony Miller', 'Ryan Simpkins, as Lee Miller', 'Sam Worthington, as Joe', 'Chloe Bailey, as Blake Holloway', 'Adam Goldberg, as Peter', 'Adrian Pasdar, as Tom', 'David Hyde Pierce, as Father Conor', 'Tracey Bonner, as Regina', 'Marcenae Lynette, as Monica']"
My Fault,80,"['Drama', 'Romance']","['Nicole Wallace, as Noah Morgan', 'Gabriel Guevara, as Nick Leister', 'Marta Hazas, as Rafaela', 'Iván Sánchez, as William Leister', 'Eva Ruiz, as Jenna', 'Víctor Varona, as Lion', 'Fran Berenguer, as Ronnie', 'Adriana Ubani, as Anna', 'Ivan Massagué, as Jonas']"
Deadpool,76,"['Action', 'Adventure', 'Comedy']","['Ryan Reynolds, as Wade Wilson / Deadpool', 'Morena Baccarin, as Vanessa', 'Ed Skrein, as Ajax', 'T.J. Miller, as Weasel', 'Gina Carano, as Angel Dust', 'Leslie Uggams, as Blind Al', 'Brianna Hildebrand, as Negasonic Teenage Warhead', 'Stefan Kapicic, as Colossus (voice)', 'Karan Soni, as Dopinder']"
Out of Exile,63,"['Thriller', 'Drama', 'Action', 'Crime']","['Adam Hampton, as Gabriel Russell', 'Karrie Cox, as Agent Jordan', 'Kyle Jacob Henry, as Wesley Russell', 'Ryan Merriman, as Agent Brett Solomon', 'Peter Greene, as Whitman Rader', 'Hayley McFarland, as Dawn Russell', 'Aurelian Smith Jr., as Remy', 'Luce Rains, as Sheriff Dan Pogue', 'Bruce Davis, as Donald Mitchell']"
3 Days in Malay,49,"['Action', 'Adventure', 'War']","['Louis Mandylor, as John Caputo', 'Donald Cerrone, as James', ""Quinton 'Rampage' Jackson, as Reverend Conte"", 'Peter Dobson, as Foley', 'Ryan Francis, as Adams', 'Randall J. Bacon, as Benny Conroy', 'Kelly Lynn Reiter,']"
Avengers: Infinity War,82,"['Adventure', 'Action', 'Science Fiction']","['Robert Downey Jr., as Tony Stark / Iron Man', 'Chris Evans, as Steve Rogers / Captain America', 'Chris Hemsworth, as Thor', 'Josh Brolin, as Thanos', 'Mark Ruffalo, as Bruce Banner / Hulk', 'Scarlett Johansson, as Natasha Romanoff / Black Widow', 'Don Cheadle, as James Rhodes / War Machine', 'Benedict Cumberbatch, as Doctor Strange', 'Tom Holland, as Peter Parker / Spider-Man']"
Under Paris,61,"['Action', 'Drama', 'Horror', 'Thriller']","['Bérénice Bejo, as Sophia Assalas', 'Nassim Lyes, as Adil', 'Léa Léviant, as Mika', 'Sandra Parfait, as Caro', 'Aksel Üstün, as Nils', 'Aurélia Petit, as Angèle', 'Marvin Dubart, as Markus', 'Daouda Keita, as Léopold', 'Ibrahima Ba, as Adama']"
Stranger in the Woods,64,"['Horror', 'Thriller']","['Holly Kenney, as Olivia', 'Brendin Brown, as Sam', 'Paris Nicole, as Theresa', 'Radek Antczak, as Brandon', 'Teddy Spencer, as Clayton', 'Devon Deshaun Stewart, as Liam']"
MaXXXine,63,"['Crime', 'Mystery', 'Thriller', 'Horror']","['Mia Goth, as Maxine Minx', 'Elizabeth Debicki, as Elizabeth Bender', 'Moses Sumney, as Leon', 'Michelle Monaghan, as Detective Williams', 'Bobby Cannavale, as Detective Torres', 'Halsey, as Tabby Martin', 'Lily Collins, as Molly Bennett', 'Giancarlo Esposito, as Teddy Knight, Esq.', 'Kevin Bacon, as John Labat']"
